Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,7.622499943,7.660714149,7.585000038,7.643214226,6.461977482,493729600,,
2010-01-05,7.664286137,7.699643135,7.616071224,7.656428814,6.473148346,601904800,,
2010-01-06,7.656428814,7.686786175,7.526785851,7.534643173,6.370184422,552160000,,
2010-01-07,7.5625,7.571428776,7.466071129,7.520713806,6.358407497,477131200,,
2010-01-08,7.510714054,7.571428776,7.466429234,7.570713997,6.400681019,447610800,,
2010-01-11,7.599999905,7.607142925,7.444643021,7.503929138,6.344214439,462229600,,
2010-01-12,7.471070766,7.491786003,7.372142792,7.418570995,6.272051811,594459600,,
2010-02-01,6.870357037,7.0,6.83214283,6.954642773,5.879822254,749876400,,
2010-02-02,6.996786118,7.011428833,6.906428814,6.994999886,5.913943768,698342400,,
2010-02-03,6.970356941,7.150000095,6.943571091,7.115356922,6.015696526,615328000,,
2010-02-04,7.026071072,7.084642887,6.841785908,6.858929157,5.798900604,757652000,,
2010-02-05,6.879642963,7.0,6.816071033,6.980713844,5.901863098,850306800,,
2010-02-08,6.988928795,7.067142963,6.928571224,6.932857037,5.861402035,478270800,,
2010-02-09,7.014999866,7.053571224,6.955357075,7.00678587,5.923905373,632886800,,
2010-02-10,6.996070862,7.021429062,6.937857151,6.968571186,5.891598225,370361600,,
2010-02-11,6.960000038,7.133928776,6.93071413,7.095356941,5.99878931,550345600,,
2010-02-12,7.07535696,7.20142889,6.982142925,7.156428814,6.050422668,655468800,,
2010-03-01,7.348214149,7.482142925,7.337500095,7.463929176,6.310398579,550093600,,
2010-03-02,7.497499943,7.529643059,7.419285774,7.458929062,6.306173325,566546400,,
2010-03-03,7.462142944,7.495357037,7.426428795,7.476070881,6.320664883,372052800,,
2010-03-04,7.474286079,7.532856941,7.451070786,7.52535677,6.362332821,366041200,,
2010-03-05,7.676428795,7.846428871,7.665357113,7.819643021,6.611137867,899620400,,
2010-03-08,7.857500076,7.860356808,7.794642925,7.824285984,6.615063667,429889600,,
2010-03-09,7.796785831,8.035714149,7.781785965,7.965000153,6.734030724,920259200,,
2010-03-10,7.993928909,8.052857399,7.971428871,8.029999733,6.788986683,596218000,,
2010-03-11,7.996786118,8.053570747,7.975714207,8.053570747,6.808914185,405700400,,
2010-03-12,8.12035656,8.133213997,8.0625,8.092857361,6.8421278,416323600,,
2010-04-01,8.478928566,8.526070595,8.3125,8.427499771,7.125054359,603145200,,
2010-04-05,8.39214325,8.518214226,8.384642601,8.517499924,7.201144218,684507600,,
2010-04-06,8.507143021,8.579999924,8.464285851,8.555000305,7.23284626,447017200,,
2010-04-07,8.555356979,8.640000343,8.523571014,8.592857361,7.264854908,628502000,,
2010-04-08,8.587142944,8.626428604,8.501428604,8.569643021,7.245230675,572989200,,
2010-04-09,8.62250042,8.638929367,8.587857246,8.635356903,7.300786972,334182800,,
2010-04-12,8.649999619,8.681071281,8.636071205,8.653214455,7.315883636,333026400,,
2010-05-03,9.422857285,9.56714344,9.388570786,9.512499809,8.042366982,454342000,,
2010-05-04,9.388929367,9.403214455,9.169643402,9.238571167,7.810778618,723819600,,
2010-05-05,9.036786079,9.219285965,8.883213997,9.142499924,7.729552269,883103200,,
2010-05-06,9.065357208,9.223214149,7.116071224,8.794643402,7.435452461,1285860800,,
2010-05-07,8.703928947,8.806071281,8.043213844,8.423570633,7.121730804,1676018400,,
2010-05-10,8.9375,9.094642639,8.876070976,9.071070671,7.669160366,984306400,,
2010-05-11,8.994285583,9.281785965,8.946429253,9.161429405,7.745554924,848906800,,
2010-05-12,9.258570671,9.397500038,9.239286423,9.360357285,7.913739204,654379600,,
2010-06-01,9.274642944,9.497857094,9.248571396,9.315357208,7.875694275,876472800,,
2010-06-02,9.447856903,9.45714283,9.297499657,9.426786423,7.969902992,688548000,,
2010-06-03,9.470713615,9.48392868,9.300356865,9.397143364,7.944841385,650106800,,
2010-06-04,9.221785545,9.353570938,9.093929291,9.141428947,7.728644371,758304400,,
2010-06-07,9.224642754,9.255356789,8.948213577,8.962142944,7.577069283,886942000,,
2010-06-08,9.044285774,9.064286232,8.77321434,8.904643059,7.528452873,1000770400,,
